date,LOAD_WEIGHT
2017-11-13,6560.0
2017-11-14,1820.0
2017-11-15,2640.0
2017-11-17,1240.0
2017-11-18,7580.0
2017-11-20,2460.0
2017-11-21,2840.0
2017-11-28,3440.0
2017-11-30,4060.0
2017-12-02,6840.0
2017-12-05,2620.0
2017-12-06,2900.0
2017-12-09,3460.0
2017-12-12,2540.0
2017-12-13,2040.0
2017-12-18,2100.0
2017-12-20,4540.0
2017-12-23,1840.0
2017-12-27,980.0
2017-12-29,3620.0
2017-12-30,660.0
2018-01-02,1760.0
1/3/2018,680
1/5/2018,6240
1/6/2018,1400
1/9/2018,5920
1/10/2018,3040
1/17/2018,2160
1/23/2018,2200
1/24/2018,3200
1/27/2018,980
1/30/2018,7040
1/31/2018,3360
2/1/2018,680
2/3/2018,5520
2/6/2018,2640
2/13/2018,3580
2/14/2018,1640
2/16/2018,6540
2/20/2018,3520
2/21/2018,4980
2/23/2018,1160
2/26/2018,7820
2/27/2018,4540
2/28/2018,2880
3/6/2018,4740
3/10/2018,3840
3/20/2018,7420
3/23/2018,5240
3/24/2018,9520
3/27/2018,3100
3/28/2018,5820
3/30/2018,3640
4/2/2018,3260
4/3/2018,4160
4/4/2018,3120
4/9/2018,3520
4/10/2018,3540
4/11/2018,1100
4/13/2018,2300
4/14/2018,8020
4/17/2018,5720
4/18/2018,3860
4/24/2018,5480
4/30/2018,5900
5/1/2018,3880
5/2/2018,3780
5/5/2018,1240
5/7/2018,3840
5/9/2018,4980
5/14/2018,3400
5/15/2018,660
5/16/2018,2360
5/18/2018,2820
5/22/2018,5400
5/29/2018,4180
5/30/2018,4740
6/5/2018,3780
6/6/2018,3540
6/9/2018,9720
6/12/2018,1920
6/13/2018,3320
6/18/2018,1340
6/19/2018,440
6/20/2018,3920
6/26/2018,8580
6/30/2018,2560
7/3/2018,3000
7/4/2018,6300
7/11/2018,3400
7/16/2018,2360
7/17/2018,1520
7/18/2018,4520
7/24/2018,5220
7/25/2018,4400
7/30/2018,8480
8/1/2018,2100
8/3/2018,3060
8/6/2018,4280
8/7/2018,2800
8/13/2018,4940
8/15/2018,2520
8/17/2018,4680
8/18/2018,8440
8/20/2018,2260
8/21/2018,5840
8/27/2018,3340
8/28/2018,4680
8/29/2018,2180
9/4/2018,2860
9/5/2018,3900
9/12/2018,5020
9/18/2018,11660
9/24/2018,6200
9/25/2018,5340
9/26/2018,680
10/1/2018,3560
10/2/2018,4520
10/3/2018,1860
10/9/2018,6720
10/10/2018,3440
10/17/2018,4960
10/23/2018,8040
10/24/2018,7300
10/30/2018,9240
11/6/2018,3820
11/7/2018,4700
11/9/2018,3000
11/10/2018,1360
11/13/2018,4120
11/14/2018,4280
11/17/2018,3140
11/20/2018,5400
11/21/2018,5180
11/23/2018,4500
11/27/2018,4760
11/28/2018,820
12/4/2018,4520
12/5/2018,6600
12/6/2018,660
12/10/2018,2080
12/12/2018,4420
12/18/2018,3480
12/19/2018,4580
12/21/2018,4920
12/24/2018,1860
12/26/2018,2300
12/28/2018,5520
12/29/2018,440
1/2/2019,3500
1/8/2019,9700
1/9/2019,2060
1/11/2019,9440
1/15/2019,2560
1/16/2019,4580
1/22/2019,3140
1/23/2019,6540
1/29/2019,3040
1/30/2019,3640
2/5/2019,4720
2/6/2019,7700
2/12/2019,2180
2/13/2019,4720
2/19/2019,2620
2/20/2019,4580
2/23/2019,5020
2/26/2019,3580
2/27/2019,3240
3/5/2019,3980
3/6/2019,5180
3/9/2019,2200
3/11/2019,3260
3/12/2019,3920
3/16/2019,6160
3/18/2019,3860
3/19/2019,8760
3/24/2019,0
3/25/2019,7040
3/26/2019,3280
3/27/2019,6160
4/2/2019,4160
4/3/2019,2360
4/10/2019,1640
4/16/2019,3560
4/17/2019,5580
4/19/2019,15000
4/22/2019,180
4/23/2019,3440
4/24/2019,6840
4/30/2019,13620
5/7/2019,13920
5/9/2019,4840
5/10/2019,3640
5/13/2019,5000
5/15/2019,6700
5/21/2019,4780
5/22/2019,4460
5/28/2019,7840
6/4/2019,14280
6/8/2019,3440
6/11/2019,3360
6/12/2019,5740
6/18/2019,7300
6/25/2019,4160
6/26/2019,1220
7/1/2019,3720
7/2/2019,5160
7/3/2019,3580
